Customer ID,Age,Annual Income (k$),Spending Score (1-100),Customer Segment
1,56,81,93,Medium
2,69,70,67,Medium
3,46,78,76,Medium
4,32,137,26,Low
5,60,115,16,High
6,25,132,51,Low
7,38,81,86,High
8,56,71,57,Low
9,36,31,29,High
10,40,58,78,Low
11,28,149,92,Medium
12,28,132,69,Low
13,41,120,47,High
14,53,132,94,Low
15,57,100,62,Low
16,41,132,69,Low
17,20,21,76,Medium
18,39,149,16,Low
19,19,73,90,Medium
20,41,106,90,Medium
21,61,148,48,Low
22,47,145,85,Low
23,55,149,39,Low
24,19,72,100,High
25,38,87,33,Low
26,50,142,94,Medium
27,29,57,23,Low
28,39,43,10,High
29,61,88,69,Low
30,42,135,100,High
31,66,117,34,High
32,44,116,52,Low
33,59,143,95,Medium
34,45,89,10,High
35,33,112,19,Low
36,32,22,58,Low
37,64,109,96,Medium
38,68,115,1,High
39,61,71,69,High
40,69,147,4,Low
41,20,58,16,Low
42,54,101,24,Medium
43,68,123,80,Medium
44,24,148,2,High
45,38,30,92,High
46,26,61,32,Low
47,56,118,91,High
48,35,26,84,Medium
49,21,109,24,Medium
50,42,131,12,Low
51,31,79,50,Medium
52,67,132,35,Medium
53,26,21,33,Medium
54,43,148,33,Medium
55,19,67,61,Low
56,37,56,51,Low
57,45,28,43,High
58,64,118,12,Medium
59,24,67,67,High
60,61,73,65,Low
61,25,139,33,Low
62,64,135,40,Low
63,52,94,74,Low
64,31,132,43,Low
65,34,123,44,Low
66,53,103,29,Low
67,67,131,13,Medium
68,57,118,12,High
69,21,112,95,Low
70,19,147,46,Medium
71,23,129,2,Medium
72,59,101,35,High
73,21,73,87,Low
74,46,87,81,High
75,35,52,90,Low
76,43,40,8,Medium
77,61,67,93,Medium
78,51,147,26,Medium
79,27,147,74,Medium
80,53,52,90,High
81,31,134,34,Low
82,48,138,7,Low
83,65,41,68,High
84,32,57,58,Low
85,25,128,75,Medium
86,31,70,29,Low
87,40,27,36,Medium
88,57,46,89,High
89,38,46,21,Low
90,33,40,36,High
91,62,49,10,Low
92,35,116,73,Medium
93,64,47,24,High
94,41,130,64,Low
95,43,80,99,Medium
96,42,67,49,High
97,62,23,99,High
98,58,54,36,Low
99,46,68,82,Low
100,32,36,96,Low
101,62,65,24,Medium
102,18,136,23,Low
103,42,25,62,High
104,24,118,96,High
105,26,143,37,Low
106,41,56,12,Low
107,18,43,55,High
108,61,112,13,Medium
109,25,65,23,Low
110,41,114,89,Low
111,28,118,99,High
112,68,135,30,Low
113,34,86,17,Medium
114,25,147,62,High
115,52,37,84,Low
116,52,44,89,High
117,50,73,86,Low
118,22,77,13,Low
119,59,86,59,Low
120,56,123,19,Medium
121,58,43,49,Medium
122,45,133,100,High
123,24,51,12,Low
124,26,105,61,Low
125,25,146,19,Medium
126,29,149,76,Low
127,51,36,9,Medium
128,50,123,71,Low
129,65,62,28,High
130,40,58,78,Low
131,41,45,95,Low
132,54,118,52,Medium
133,52,69,83,Low
134,61,32,16,Low
135,57,79,69,Medium
136,39,76,99,High
137,44,55,12,High
138,52,39,25,Medium
139,18,84,52,Medium
140,52,27,85,Medium
141,54,134,100,Medium
142,64,111,53,Medium
143,31,117,23,High
144,20,85,16,High
145,18,51,57,Medium
146,22,105,39,Low
147,43,70,53,Medium
148,31,82,42,Low
149,56,144,58,Medium
150,44,77,39,Medium
151,26,77,14,High
152,32,105,95,Low
153,32,68,5,Low
154,43,89,35,High
155,59,34,87,High
156,30,73,93,High
157,68,120,75,High
158,49,27,18,Low
159,56,72,76,Low
160,66,79,9,Medium
161,69,127,74,Medium
162,49,24,58,High
163,21,122,17,High
164,47,25,7,High
165,54,128,46,Medium
166,40,135,13,Medium
167,56,113,40,Medium
168,62,66,42,Medium
169,32,118,9,Medium
170,60,74,50,Medium
171,46,71,27,Medium
172,53,32,66,High
173,30,133,5,High
174,49,143,29,High
175,24,125,37,High
176,68,139,38,Medium
177,39,82,83,Low
178,45,38,8,Medium
179,19,111,65,Low
180,59,77,86,High
181,62,109,17,Medium
182,23,136,71,High
183,45,81,89,Medium
184,45,42,45,High
185,61,146,4,Low
186,61,148,36,Low
187,37,77,70,Low
188,47,141,31,Medium
189,28,20,19,Low
190,45,53,61,Medium
191,42,115,54,Low
192,56,145,39,Low
193,50,137,91,Medium
194,18,67,74,Medium
195,44,108,90,Low
196,69,136,19,Medium
197,30,148,39,Low
198,58,35,67,Medium
199,20,88,45,High
200,56,41,13,High
